CustomerID,Lookalikes
C0001,"[('C0072', 0.9995801239756656), ('C0190', 0.9995396754148373), ('C0069', 0.9992414536172233)]"
C0002,"[('C0199', 0.999947412969889), ('C0025', 0.9997084708663192), ('C0166', 0.9988754532265038)]"
C0003,"[('C0178', 0.9999989970925096), ('C0133', 0.9999081636943632), ('C0052', 0.999791880110156)]"
C0004,"[('C0113', 0.9993333560373735), ('C0012', 0.997858707803826), ('C0108', 0.9976860649975098)]"
C0005,"[('C0197', 0.9999550413378965), ('C0120', 0.999248301356003), ('C0007', 0.9988266754906884)]"
C0006,"[('C0117', 0.999873668447618), ('C0037', 0.9964821047312962), ('C0187', 0.9963642506153775)]"
C0007,"[('C0085', 0.9999986778881169), ('C0120', 0.9999532375535115), ('C0050', 0.9990958497332864)]"
C0008,"[('C0109', 0.9969315296090455), ('C0093', 0.9952142953493243), ('C0175', 0.9927829358675392)]"
C0009,"[('C0077', 0.9999851375384464), ('C0032', 0.9997877415486484), ('C0062', 0.9976924430093821)]"
C0010,"[('C0029', 0.9999817548950187), ('C0031', 0.9996781632863196), ('C0111', 0.9959810992597672)]"
C0011,"[('C0048', 0.9999540292990335), ('C0016', 0.9999345263925594), ('C0064', 0.9997013882014664)]"
C0012,"[('C0108', 0.9996439664563626), ('C0004', 0.997858707803826), ('C0124', 0.9976552297174862)]"
C0013,"[('C0143', 0.9999958016190141), ('C0046', 0.9996917752490515), ('C0099', 0.9976469285832568)]"
C0014,"[('C0151', 0.9999600543822388), ('C0097', 0.9998538526669166), ('C0060', 0.9997512176329124)]"
C0015,"[('C0095', 0.9999306562083219), ('C0123', 0.9997467877620104), ('C0128', 0.9993573759310557)]"
C0016,"[('C0048', 0.9999982801654463), ('C0011', 0.9999345263925594), ('C0064', 0.9999155598423063)]"
C0017,"[('C0021', 0.9989964914283755), ('C0101', 0.9985727392182849), ('C0139', 0.9972904993445455)]"
C0018,"[('C0183', 0.9974261010475486), ('C0114', 0.997375100430358), ('C0105', 0.9969717987981864)]"
C0019,"[('C0047', 0.9961034388968285), ('C0118', 0.9949956484123584), ('C0174', 0.9945408423805625)]"
C0020,"[('C0130', 0.9995444526367542), ('C0140', 0.9911734812068119), ('C0197', 0.9768575792178675)]"
